Company Environment
box,case
diagram,diagramme
draft,brouillon
flowchart,diagramme
graph,graphique
layout,plan
mind map,carte heuristique
network diagram,schéma des réseaux
organization chart,organigramme
outline,schéma
pie chart,graphique à secteurs
template,modèle informatique
unknowns,inconnus
in charge of,être responsable de
accountant,comptable
auditor,auditeur
chairman,président
CEO,PDG
clerk,employé de bureau
department,service
foreman,contremaître
management,direction
managing director,directeur général
partner,associé
sales manager,directeur commercial
warehouse,entrepôt
watchman,gardien de nuit
workshop,atelier
adress,s'occuper de
adjourn,suspendre
agenda,ordre du jour
allocate,attribuer
board of director,conseil d'administration
deadline,date limite
mandatory,obligatoire
guest speaker,inivté
minutes,compte rendu
