Effective cover Letters,
business letter,lettre d'affaires
vacant position,poste vacant
cover lettre,lettre de motivation
employer,employeur
Well-focused,ciblé
interview,entretien
persuade,persuader
position,poste
advertised,annoncé
enclosed,inclus
response,réponse
application,demande
intercultural awareness,sensibilité culturelle
dependability,fiabilité
flexibility,flexibilité
self-awarness,connaissance de soi
language skills,compétences linguistique
customer service skills,compétences service client
initiative,initiative
communication skills,compétences en communication
leadership skills,compétences en leadership
numerical skills,compétences en mathématique
