Job application and Interview
adjustment,mise à niveau
application,candidature
to apply,postuler
to assess,évaluer
assessment sheet,feuille d'évaluation
Bachelor's degree,licence
Bachelor's of Arts,licence de lettres
Bachelor's of Science,licence scientifique
background,formation
cover letter,lettre de motivation
credentials,références
resume,CV
expertise,savoir-faire
knowhow,savoir-faire
to follow up,relancer
follow-up letter,lettre de relance
to hire,embaucher
to take on,embaucher
to fire,renvoyer
hands-on experience,expérience pratique
job interview,entretien d'embauche
Master's degree,master
occupational hazards,risques professionnels
to provide references,donner ses références
to qualify-for,avoir les diplômes pour
to recruit,recruter
references,références
seasonal work,travail saisonnier
to send off a resume,envoyer son CV
shortcomings,défauts
flaws,défauts
special field,spécialité
to turn down an offer,refuser une offre
vacancy,poste vacant
work experience, expérience professionnelle
