Means Of Transport : General
arrival , arrivée
to cancel , annuler
cargo , cargaison
carry-on bag ; hand luggage , bagage à main
departure , départ
exit , sortie
fare , prix du billet
fine , amende
freight , fret 
one way ticket ; single ticket , aller simple
overseas , outre-Atlantique
peak hours ; rush hours , heures de pointes
reduced fare , tarif réduit
round trip ; return ticket , aller-retour
schedule ; timetable , horaire
shuttle , navette
suitcase , valise
transfer , changement
trunk , malle
