Personality
accurate,précit
active,actif
adaptable,adaptable
adept,expert
broad-minded,ouvert
competent,compétent
conscientious,consciencieux
creative,créatif
dependable,fiable
determined,déterminé
diplomatic,diplomate
discreet,discret
efficient,efficace
energetic,énergétique
enterprising,entreprenant
enthusiastic,enthousiaste
experienced,expérimenté
fair,juste
firm,ferme
genuine,authentique
honest,honête
innovative,innovent
logical,logique
loyal,loyal
mature,mûr
methodical,méthodique
motivated,motivé
objective,objectif
outgoing,sociable
personable,charmant
pleasant,plaisant
positive,positif
practical,pratique
productive,productif
reliable,fiable
resourceful,ingénieux
self disciplined,autodiscipliné
sensitive,sensible
sincere,sincère
successful,fructueux
tactful,délicat
trutworthy,digne de confiance
versatile,polyvalent
