Salaries and Benefits
award,récompense
benefits,avantages
compensatory time,RTT
health insurance,mutuelle santé
leave,congé
maternity leave,congé maternité
sick leave,congé maladie
minimum wage,salaire minimum
"off-the-clock" work,travail en dehors des heures ouvrées
on-call,de garde
overtime,heures supplémentaires
paid leave,congés payés
pay docking,retenue sur salaire
perks,prime
promotion,promotion
relocation expenses,frais de déménagement
retirement plan,plan de retraite
schedule,emploi du temps
tip,pourboire
unpaid suspension,suspension temporaire non rémunérée
wages,salaire
salary,salaire
benefits,avantages
currency,monnaie
lawsuit,procès
regulatory,réglementaire
company policy,politique de l'entreprise
to cut spending,réduire les dépenses
fine,amende
