The Environment
to damage , nuire à 
to ruin ; to mar ; to spoil , gâcher ; abîmer
to foul , to pollute ; to taint , polluer
to stink , puer
stink ; stench , puanteur
to forbid ; to ban , interdire
to deplete ; to thin , réduire
ozone layer , couche d'ozone
hole , trou
global warming , réchauffement climatique
greenhouse effect , effet de serre 
shrinking , rétrécissement 
melting ; thawing , fonte des neiges
to melt ; to thaw , fondre
oil field , champ pétrolifère
to drill , forer
drilling , forage
to leak , fuir
crack ; leakage , fuite
to capsize , chavirer
oil slick , marée noire
chemicals , produits chimiques
exhaust fumes , gaz d'échappement
waste ; rubbish ; garbage , déchets
fertilizer , engrais
tar , goudron
manure , purin ; fumier
to lack ; run short of ; run out of ; use up , manquer de ; épuiser
a shortage ; lack of , une pénurie de
to save , sauvegarder ; économiser
to waste , gaspiller
hydrocarbon , hydrocarbone
lead , plomb
