Tourism
abroad , à l'étranger
accommodation , logement
backpack ; rucksack , sac à dos
backpaker , randonneur
baggage locker , consigne à bagages
breathtaking view , vue à couper le souffle
campsite , camping
castle , château
city ; town center , centre ville
city hall ; town hall ; village hall , mairie ; hôtel de ville
cruise , croisière
deckchair , transat
deluxe , luxueux
full board , pension complète
half board , demi-pension
to get a suntan , bronzer
gift , cadeau
guide , guide
to hitchhike , faire du stop
to be homesick ; to feel homesick , avoir le mal du pays
high season ; peak season , haute saison
to hike , faire une promenade ; faire une randonnée
to hire ; to rent , louer
hitchhiker , autostoppeur
proof of identification ; ID ; ID card , carte d'identité ; pièce d'identité
identification , papiers d'identité
journey ; trip , voyage
leisure , loisirs
life jacket ; life vest , gilet de sauvetage
luggage , bagages
mill , moulin
museum , musée
organized tours ; package tours , circuits organisés
to pack , faire ses bagages
to unpack , défaire ses bagages
passport , passeport
recliner , chaise longue
resort seaside , station balnéaire
ski resort , station de ski
route , itinéraire
safe , coffre-fort
sightseer ; tourist , touriste
to go sightseeing , faire du tourisme
sightseeing , tourisme
shore , côte
a stay , séjour
suitcase , valise
briefcase , attaché-caisse
trek , marche
to tour , visiter ; faire le tour
vacationer , vacancier ; estivant
map , carte
customs , douane
holiday-maker , vacancier ; estivant
wealthy , riche ; opulent
